0,11
1,37
2,46
3,25
4,3
5,15
6,36
7,43
8,7
9,26
10,44
11,32
12,0
13,45
14,17
15,6
16,2
17,4
18,42
19,30
20,113
21,121
22,140
23,130
24,70
25,75
26,88
27,16
28,45
29,40
30,134
31,124
32,34
33,9
34,26
35,12
36,134
37,96
38,95
39,130
40,36
41,8
42,29
43,4
44,114
45,115
46,119
47,28
48,11
49,48
50,50
51,55
52,80
53,94
54,79
55,118
56,209
57,230
58,232
59,240
60,144
61,189
62,190
63,191
64,192
65,197
66,47
67,35
68,24
69,41
70,7
71,22
72,18
73,26
74,44
75,19
76,222
77,230
78,51
79,32
80,4
81,44
82,14
83,23
84,233
85,234
86,235
87,236
88,237
89,238
90,239
91,120
92,124
93,125
94,126
95,127
96,128
97,49
98,150
99,180
