0,23
1,20
2,0
3,39
4,29
5,9
6,29
7,13
8,36
9,3
10,23
11,33
12,34
13,21
14,44
15,35
16,21
17,40
18,33
19,43
20,37
21,46
22,32
23,16
24,34
25,44
26,31
27,27
28,45
29,18
30,49
31,17
32,10
33,18
34,18
35,19
36,42
37,35
38,3
39,24
40,6
41,16
42,20
43,22
44,23
45,0
46,11
47,15
48,40
49,49
50,25
51,38
52,43
53,9
54,49
55,11
56,19
57,50
58,20
59,20
60,21
61,38
62,18
63,9
64,27
65,49
66,50
67,27
68,26
69,46
70,49
71,9
72,15
73,8
74,21
75,49
76,15
77,22
78,48
79,33
80,2
81,28
82,43
83,12
84,23
85,31
86,32
87,36
88,50
89,6
90,40
91,30
92,48
93,36
94,23
95,34
96,20
97,24
98,25
99,37
